event_id,Campeonato,Time Casa,Time Visitante,Gols Casa,Gols Visitante,Status,Data e Hora,Time Referência,Num Gols,Cartões Amarelos,Cartões Vermelhos
13614056,Club Friendly Games,Coritiba,Santos,1.0,4.0,Ended,2025-03-16 21:00:00,Santos,5,0,0
13473339,Brasileirão Betano,Vasco da Gama,Santos,2.0,1.0,Ended,2025-03-30 21:30:00,Santos,3,0,0
13473351,Brasileirão Betano,Santos,Bahia,2.0,2.0,Ended,2025-04-06 23:30:00,Santos,4,0,0
13473358,Brasileirão Betano,Fluminense,Santos,1.0,0.0,Ended,2025-04-13 22:30:00,Santos,1,0,0
13473371,Brasileirão Betano,Santos,Atlético Mineiro,2.0,0.0,Ended,2025-04-17 00:30:00,Santos,2,0,0
13473381,Brasileirão Betano,São Paulo,Santos,2.0,1.0,Ended,2025-04-20 19:00:00,Santos,3,0,0
13473391,Brasileirão Betano,Santos,Red Bull Bragantino,1.0,2.0,Ended,2025-04-27 23:30:00,Santos,3,0,0
13742602,Copa Betano do Brasil,Santos,CRB,1.0,1.0,Ended,2025-05-01 21:00:00,Santos,2,0,0
13473404,Brasileirão Betano,Grêmio,Santos,1.0,0.0,Ended,2025-05-04 19:00:00,Santos,1,0,0
13473411,Brasileirão Betano,Santos,Ceará,0.0,0.0,Ended,2025-05-12 23:00:00,Santos,0,0,0
13473420,Brasileirão Betano,Corinthians,Santos,1.0,0.0,Ended,2025-05-18 19:00:00,Santos,1,0,0
13742614,Copa Betano do Brasil,CRB,Santos,5.0,4.0,AP,2025-05-23 00:30:00,Santos,0,0,0
13473436,Brasileirão Betano,Vitória,Santos,0.0,1.0,Ended,2025-05-25 21:30:00,Santos,1,0,0
13939930,Club Friendly Games,Santos,RB Leipzig,1.0,3.0,Ended,2025-05-28 22:00:00,Santos,4,0,0
13472688,Brasileirão Betano,Santos,Botafogo,0.0,1.0,Ended,2025-06-01 19:00:00,Santos,1,0,0
13472750,Brasileirão Betano,Fortaleza,Santos,2.0,3.0,Ended,2025-06-12 22:30:00,Santos,5,0,0
13198200,Carioca Série A – Taça Guanabara,Maricá FC,Vasco da Gama,0.0,1.0,Ended,2025-01-29 22:00:00,Vasco da Gama,1,0,0
13198203,Carioca Série A – Taça Guanabara,Vasco da Gama,Volta Redonda,2.0,2.0,Ended,2025-02-01 19:30:00,Vasco da Gama,4,0,0
13198207,Carioca Série A – Taça Guanabara,Vasco da Gama,Fluminense,1.0,2.0,Ended,2025-02-06 00:30:00,Vasco da Gama,3,0,0
13198214,Carioca Série A – Taça Guanabara,Sampaio Corrêa-RJ,Vasco da Gama,0.0,0.0,Ended,2025-02-10 23:00:00,Vasco da Gama,0,0,0
13198220,Carioca Série A – Taça Guanabara,Flamengo,Vasco da Gama,2.0,0.0,Ended,2025-02-16 00:45:00,Vasco da Gama,2,0,0
13458043,Copa Betano do Brasil,União Rondonópolis,Vasco da Gama,0.0,3.0,Ended,2025-02-19 00:30:00,Vasco da Gama,3,0,0
13198226,Carioca Série A – Taça Guanabara,Vasco da Gama,Botafogo,1.0,0.0,Ended,2025-02-23 21:30:00,Vasco da Gama,1,0,0
13525558,Carioca Série A – Mata-mata,Vasco da Gama,Flamengo,0.0,1.0,Ended,2025-03-01 20:45:00,Vasco da Gama,1,0,0
13541809,Copa Betano do Brasil,Nova Iguaçu,Vasco da Gama,0.0,3.0,Ended,2025-03-06 00:30:00,Vasco da Gama,3,0,0
13525561,Carioca Série A – Mata-mata,Flamengo,Vasco da Gama,2.0,1.0,Ended,2025-03-08 20:45:00,Vasco da Gama,3,0,0
13473339,Brasileirão Betano,Vasco da Gama,Santos,2.0,1.0,Ended,2025-03-30 21:30:00,Vasco da Gama,3,0,0
13640393,"CONMEBOL Sudamericana, Group G",Melgar,Vasco da Gama,3.0,3.0,Ended,2025-04-02 22:00:00,Vasco da Gama,6,0,0
